Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date	File Size	SHA256
PCSG00646	JP	Saki: Zenkoku-hen Update 1.03	1.03	3.52	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00646/PCSG00646_T5/bd490c329b99029a/JP0394-PCSG00646_00-SAKIGAME00000003-A0103-V0100-9c47c57569c58cf2c73f85b3f3691ede1dd58585-PE.pkg		103737520	2a859f365e4e7650bbe68b695ed9230c78be129b420472e1fd93188a4be46807
PCSG00762	JP	Shingeki no Kyojin Update 1.03	1.03	3.55	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00762/PCSG00762_T5/457ed6122b5c079b/JP0106-PCSG00762_00-AT1JPHDDGAME0000-A0103-V0100-aa6d98ceb70e5dcc346f0af065e7edec51f0f7ce-PE.pkg		24183952	77b6d938b7d7ee521cb0faab678922161947438c7f5c9c0ec5d775499e0de5db
PCSG00804	JP	Winning Post 8 2016 Update 1.06	1.06	3.57	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00804/PCSG00804_T5/781388a85c0e938e/JP0106-PCSG00804_00-WP82016V00000100-A0106-V0100-29e29b9d535f327803823d7ef458f4d9a1de4dfe-PE.pkg		12069536	db5b7656be3013541d182577d39be3cb0090e65c183639c66b0734aa237a52cb
PCSG00815	JP	PsychicEmotion6 Update 1.02	1.02	3.61	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00815/PCSG00815_T1/6ed11ab9e02ec38d/JP0031-PCSG00815_00-PSYCHICEMOTION06-A0102-V0100-85d06b0aec09ba59747775677ee1bd94d46ea0c2-PE.pkg		8422384	2581404be4b62a7daae4df6fbd6ba0e91c068c80aa197e0b099c4ac0f965a141
PCSG00893	JP	Shin Sangoku Musou: Eiketsuden Update 1.03	1.03	3.6	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00893/PCSG00893_T2/8c5f24c63063c35f/JP0106-PCSG00893_00-PIECEGAMEJP00000-A0103-V0100-f466a873252bd84a0406bc60ff5005c4e0b4aaad-PE.pkg		15397552	11586f7bc55df8aad09f61ba929d398212089145511cdf36bf20ef17e6bded12
PCSG00974	JP	Super Robot Taisen V (Premium Anime Song & Sound Edition) Update 1.03	1.03	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00974/PCSG00974_T2/898077325aa6ef01/JP0700-PCSG00974_00-EST001VTSRWJPSE0-A0103-V0100-81a374f0a6fb553cc9472b2f4bfab9c936335744-PE.pkg		18379056	c3de10f6b00b7fc29d67a5e2917b8c2d0d55b5b1b5dbd521cb24234aac71df31
PCSG00998	JP	Winning Post 8 2017 Update 1.06	1.06	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00998/PCSG00998_T5/256eb783a0eb96b7/JP0106-PCSG00998_00-WP82017V00000100-A0106-V0100-8dc5d86f6865bb553ef9aeea45dd56396adce516-PE.pkg		10425808	920290c146bb822e23e30ad30b36cad932e1a075621b3a5931c6b8bf7413e364
PCSG01074	JP	Gintama Ranbu (AV Edition - Anime Sound & Voice Edition) Update 1.06	1.06	3.65	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG01074/PCSG01074_T7/4c7597857d55d36f/JP0700-PCSG01074_00-GINTAMANEWACTION-A0106-V0100-413684dfe61b45eba817aa8a8645d4143e8c10c3-PE.pkg		145087584	f10ff5dc77f0e6febdab8674aeda1690f355378a2066dee811bdbe7bac534fad
PCSG01208	JP	Wand of Fortune R2 FD: Kimi ni Sasageru Epilogue Update 1.01	1.01	3.68	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG01208/PCSG01208_T0/0c0bcf80cc0e0a75/JP0031-PCSG01208_00-WANDOFFORTUNE2FD-A0101-V0100-6ea4cea300c739f568b7cf499dfaf86831aeafc9-PE.pkg		4173232	9811a639451bfaf34c518a46a9f7426521527bc2f755dab8e5373dc90fd649e5
PCSF00448	EU	inviZimals: The Alliance Update 1.02	1.02	3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSF00448/PCSF00448_T0/b013e87c1288c5de/EP9000-PCSF00448_00-INVIZIMALS4GREEK-A0102-V0100-374e2ab3bf7ea8d4df2ac8be6b537f02d41d1204-PE.pkg		33146608	1c1e416188768f405d183e2f3e9504fedca344d8e2ece8528749943ec704a1e4
PCSD00021	ASIA	Unit 13 Update 1.01	1.01	1.6	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSD00021/PCSD00021_T0/87db82fd695b5d9f/HP9000-PCSD00021_00-UNIT13ZIPPER0100-A0101-V0100-49af65cef387cef831a9f3076a09e7ea21dc8f9d-PE.pkg		8929008	3b14187a824b512f63c79a7df22f03866adf3797db6c711fa425e706ced0a415
PCSD00053	ASIA	Open Me! Update 1.01	1.01	2	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSD00053/PCSD00053_T1/42b9dfed3db53dfe/HP9000-PCSD00053_00-000000D121213V01-A0101-V0101-ce6df7673328384d13437743b306ea54622803ee-PE.pkg		85489104	616fb8bd1aeebfcb3b9b0f83dba611fcfabae83c0bbb0546349a4b958868c2ad
PCSD00072	ASIA	Tearaway Update 1.02	1.02	3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSD00072/PCSD00072_T1/39bc8bd2e6e2f981/HP9000-PCSD00072_00-TEARAWAY00000000-A0102-V0100-60ebdbbcbb2f5a3f6ddda5c4e6a80d4dd8d2c9c2-PE.pkg		11657104	7caaffcb92b3d5f61cfd8400191a395645b9aa035c8b95c19cf62fff07d87eff
PCSH00019	ASIA	DJ Max Technika Tune Update 1.01	1.01	1.81	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00019/PCSH00019_T0/a7fc02b212df70e2/HP5005-PCSH00019_00-DJMAXTUNEKR0100M-A0101-V0103-8787d687c2f73b20d61afa64aecf7ab36b13495d-PE.pkg		752784	d0bf14beadad5fd765497f5331f3e00155da9e96ed0159e5cd5ab13e91d232bb
PCSH00079	ASIA	Eiyuu Densetsu: Sen no Kiseki Update 1.03	1.03	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00079/PCSH00079_T0/fd52553175b59374/HP0425-PCSH00079_00-EDSENNOKISEKIRLS-A0103-V0100-6af17a3a4b625425c059895684d285a2861a950e-PE.pkg		36191216	ed7afb2fc6ea2fbd7ff63ed4f3be3bcc641a532dd112a58989e2d5fa5e8e9f5f
PCSH00080	ASIA	Eiyuu Densetsu: Sen no Kiseki II Update 1.03	1.03	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00080/PCSH00080_T2/3ce4940d9ec41be8/HP0425-PCSH00080_00-EDSENNOKISEKI2ND-A0103-V0100-69c13b65da468d0948f826bb1f283a60dfc409a4-PE.pkg		143589968	26e78e0b72708d39752c8dd02ef84bf5e268b636c4a966262a293bed487a192e
PCSH00097	ASIA	Hyperdimension Neptunia Re;Birth2: Sisters Generation Update 1.01	1.01	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00097/PCSH00097_T5/a58ad1f369a9d0c5/KP0004-PCSH00097_00-NEPTUNEREBIRTH02-A0101-V0100-c3cb273c9e447ff042d84daf6fee14471b61e23b-PE.pkg		27192544	0e9b275e84a2ae2128a6db7623d8c9ce227a1b151b2c7f4448e2f2ffa7822fe0
PCSH00105	ASIA	Toukiden: Kiwami Update 1.01	1.01	3.35	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00105/PCSH00105_T0/161bf02049443622/KP5014-PCSH00105_00-PKGTOUKIDEN00000-A0101-V0100-9759756d5fb3ea00c1bd12292a03fc8f19afd642-PE.pkg		74954240	ebc1d52cf5c9c324ec73fa0001e28f0b70c764d2a5cd60108603adf045f9708b
PCSH00135	ASIA	Sword Art Online: Lost Song Update 1.04	1.04	3.36	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00135/PCSH00135_T3/eb2dfa1cdcf146df/HP0700-PCSH00135_00-PRODUCTPACKAGE01-A0104-V0100-abf51d8a992f41dc1a3da8024b74ba8d614e29e7-PE.pkg		422062992	74a95e646d69cfa405ade06852b42a145ec85069b95758700c566d80b709402f
PCSH00140	ASIA	Hyperdimension Neptunia Re;Birth3: V Century Update 1.01	1.01	3.36	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00140/PCSH00140_T0/0061120165b86f86/KP0004-PCSH00140_00-NEPTUNEREBIRTH03-A0101-V0100-8e36af01d6b121165d8e9c6f1c4adc44c5e56469-PE.pkg		16557696	83b99949c1d3c493553f403fbf39b09ae1086017bcacf8b85132a1dacab11575
PCSH00154	ASIA	Escha & Logy no Atelier Plus: Tasogare no Sora no Renkinjutsushi Update 1.01	1.01	3.5	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00154/PCSH00154_T0/d058ce19c0ae388c/KP5014-PCSH00154_00-ESLOGIPLUSMASTER-A0101-V0100-e265b2a9d203b9822d9efe738bc1843b4ec6af00-PE.pkg		3600944	6086782c2f355d550e23bd46c626c40b826a1c3806df2c7460626c954bd85041
PCSH00163	ASIA	Senran Kagura: Estival Versus Update 1.21	1.21	3.52	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSH00163/PCSH00163_T6/af545d623c4c4634/HP0507-PCSH00163_00-0000000000000000-A0121-V0100-c511682adbca5a06b21d3459c89c24cad882915c-PE.pkg		2450288848	de3013da7a2367a4b767a01598da9d71182a931e8cd16c53c8a0893946f583d6
