Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJH90346	JP	討鬼伝 極 (DEMO)	http://zeus.dl.playstation.net/cdn/JP0106/NPJH90346_00/hDmtkpaqnupihJwtQMSMxJPrDPyMRFpaZYqpEFkAOxoBMMGWkvaODypBqgtLnMrgxdRDNYLQramHbHNLDzPLtRmkkcLlXIiilUbPo.pkg	JP0106-NPJH90346_00-PKGTOUKIDENDEMO0	2021-04-20 15:19:20			483429280	
NPUH90081	US	Phantasy Star Portable 2 Demo	http://zeus.dl.playstation.net/cdn/UP0177/NPUH90081_00/dbKHd69ipsLvPsAvPaew8pS10cn93lJjiVcm1LhUqDR10OITbDQxlQsm2JSOFsHLMFW79c8K43fKYpAarfrAUr0EyxufrkguWCiL3.pkg	UP0177-NPUH90081_00-PHANTASYSTARPORT	2026-07-06 05:13:33			358532576	
NPUH90030	US	Rock Band Unplugged Demo	http://zeus.dl.playstation.net/cdn/UP8802/NPUH90030_00/RrxDBR4UIRySO2FR7H0sLVHQdB4t9LmkcOLwh8VVYNT6Wos4NKaCf3f7pu1mhsQRbmgW5ssuGjHuykRlQ15jWDBEhd9AlNrOrltpB.pkg	UP8802-NPUH90030_00-RBUNPLUGGCCF0001	2026-07-02 23:18:33			143633488	
NPUH90087	US	Dragon Ball® Z: Tenkaichi Tag Team Demo	http://zeus.dl.playstation.net/cdn/UP0700/NPUH90087_00/uKcXQR1uO1APCHhWjN61l5VVqKlehQ4e7WIiteUx8yER9SmKeh6RA1YlsmuyMKMFxymK8uWjvyBEKyVcFCG8UEsUPSb9tlDN8BRGB.pkg	UP0700-NPUH90087_00-DBZTTT000000DEMO	2026-07-02 22:13:25			42985408	
NPHH00260	ASIA	디제이맥스 포터블 3 체험판	http://zeus.dl.playstation.net/cdn/HP5005/NPHH00260_00/HI7vSni6nf7nNeHs9qlqPAk6gLFRFdyOtP6lLSLHVlxWVACypcPku9BKNY5Dfn16fyu6INeukJrNOKccuvM8T6j6qpWBGvEggsmfk.pkg	HP5005-NPHH00260_00-DJMAXPORTABLE3DM	2020-01-05 13:22:15			39936096	
NPUH90003	US	Harvey Birdman: Attorney at Law Demo	http://zeus.dl.playstation.net/cdn/UP0102/NPUH90003_00/V3ub5cGhq1Pol802hYxAXEHVstpyTR01WARUAcV77wwkIr0A7jSJcdc84t7qInBgtC9uEFC5DQWYQvy3xJWdtjOmdjMhIKmSvguTg.pkg	UP0102-NPUH90003_00-0000000000000000	2026-07-06 04:40:11			259084096	
UCUS98656	US	Syphon Filter®: Dark Mirror Playable Demo	http://zeus.dl.playstation.net/cdn/UP9000/UCUS98656_00/0roJhUV8CESPs49HsNR6YVHpKhkA28CVGp3LH72RdRD0vw6ffrFEhuTA9gYjnoGaGid1IN4jHuVA7V2IoMgUsnsQBRs3j8c9RUKto.pkg	UP9000-UCUS98656_00-SFDARKMIRRORUMDL	2020-05-08 18:25:51			258139760	
NPUH90056	US	Holy Invasion of Privacy, Badman!™ 2 Demo	http://zeus.dl.playstation.net/cdn/UP1063/NPUH90056_00/Ag1G9U7RWEvfW2ddL93nRxjoIUyLNqYvv0RucIkEY5vHwgwrKvxgO1cjDQbiAibvLfa4WP9MuKVLU4va4PjaDg2X92pdhgWa0uw8I.pkg	UP1063-NPUH90056_00-BADMAN2SNEAKPEEK	2026-07-02 22:47:36			16051248	
NPUG70005	US	MLB® 08 The Show™ Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70005_00/jO3Jn0fd1SuIKV0o79QK60FgkFB1ryKFEinmJuKMH7IeIDR3H0KAQb2QvNWL6QsUsHycIkOSq4uugyRKlWb4nr7xiFxYQ386gbiGC.pkg	UP9000-NPUG70005_00-MLB08THESHOWDEMO	2026-07-06 04:56:43			152028224	
NPEH90025	EU	Football Manager Handheld 2010 Demo	http://zeus.dl.playstation.net/cdn/EP0177/NPEH90025_00/FuKC9s1tFMSuKVrU4OPjarlmOEtOqLNjLB046CmX6qSyHNsBWmSSxCIAqJh9sB6gG62GC0eABdlInWMgCCvIiNVoVekYI1URUpBdI.pkg	EP0177-NPEH90025_00-FOOTBALLMANH2010	2026-07-06 07:14:05			18031072	
NPEH90049	EU	NARUTO Shippuden: Kizuna Drive (DEMO)	http://zeus.dl.playstation.net/cdn/EP0700/NPEH90049_00/IcinKaUQCHNedRpSIhhurSOOVGjinUtBdednUGAcNXrkRBbnPUoPPurqupUFkqEu.pkg	EP0700-NPEH90049_00-KIZUNADRIVETRIAL	2026-07-06 05:07:00			42341808	
NPEG90032	EU	God of War: Ghost of Sparta (DEMO)	http://zeus.dl.playstation.net/cdn/EP9000/NPEG90032_00/TLi63GUDvElmgenjv8hhK4p09QeSCTg3KTa4yie6vNl6I2WjhvlA0uunK3feogCl.pkg	EP9000-NPEG90032_00-GODOFWARGOS00001	2022-01-27 18:00:14			97560288	
NPEH90048	EU	Lord of Arcana - (DEMO)	http://zeus.dl.playstation.net/cdn/EP0082/NPEH90048_00/KtsoLxaOlkUFmimWeXoiDpOUnEFSVDgVnCCxfVsrWVErGWoKcqGCQJWmvQFZGfGl.pkg	EP0082-NPEH90048_00-0000000000000000	2022-01-27 18:00:14			185516960	
NPUG80135	US	echochrome™ PSP® Playable Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80135_00/tLowyLbewm91bnSH80LqpKCnoD9PtInX82iChkC1s7drcrLk07UShfYUVKlWLXRC67KoYfOKDqfDmiR3x7GsxLwIndknbs8TSvjuM.pkg	UP9000-NPUG80135_00-ECHOCHROMEDEMO00	2026-07-02 22:14:24			47187488	
NPJH90002	JP	PHANTASY STAR PORTABLE (DEMO)	http://zeus.dl.playstation.net/cdn/JP0177/NPJH90002_00/tDhmsBcmVKBULrQW6kcpHGPRhBUgOh8xsb0omL3ditLBrTW2lObrM93NPOAqHc2RNG1bRid0oVSLCbieg7P8h17Bm245EmWsmidaf.pkg	JP0177-NPJH90002_00-PHANTASYSTARPORT	2026-07-06 05:13:50			288694208	
NPEH90038	EU	Naruto Shippuden: UNH3 Demo	http://zeus.dl.playstation.net/cdn/EP0700/NPEH90038_00/HtyFScHGrMPUiydc3k1AVh4CJbMYiucgjkbIUJbmdTtdkml0qJX3YhTG5dk4lA9wp6FprqPJJFmndUWkyOPNKyx6BPdBDNhkpXPyF.pkg	EP0700-NPEH90038_00-NARUTOSUNH3DEMO1	2026-07-06 05:04:39			69503616	
NPUG70077	US	echoshift™ Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70077_00/2jqTaiiF2Y52PLul7xEwlb3Q9XHKrvh0QPL2xjgVMffw4fvDUkLEEuBCu2UJ7H0LYhr7rxoWNKscf5g1SIsstoT9S77TfyOxxsqHS.pkg	UP9000-NPUG70077_00-1000000000000000	2026-07-02 22:16:38			150598944	
