Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date
CUSA00025	EU	Call of Duty® Ghosts	1.20		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00025_00/18/f_5143261983e61bd6db1f6895a7bae394c2c6e78f013ab92a957a8b8cb465973b/f/EP0002-CUSA00025_00-CALLDUTYGHOSTSDL-A0120-V0100.json	2018-05-23 20:21:22
CUSA00028	EU	Call of Duty® Ghosts	1.20		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00028_00/18/f_2615503bb1f02fcf56bce94579021080ddad9b68888dce93a7823871a1877d25/f/EP0002-CUSA00028_00-CALLDUTYGHOSTSDL-A0120-V0100.json	2018-05-23 20:21:22
CUSA00033	EU	SingStar™	1.10		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00033_00/16/f_10b2cffad10b416ed80c1b3b6d88cf708efe472745fe0ae1a7f24c92c110ee6d/f/EP9000-CUSA00033_00-SINGSTARE3XX2013-A0110-V0100.json	2018-05-23 20:21:22
CUSA00034	US	Escape Plan	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00034_00/1/f_560d6e9df228c767501e7af1d22300b84925f3ecbc6eeeacce71851afedf7d5d/f/UP9000-CUSA00034_00-ESCPGAMEMASTERUS-A0101-V0100.json	2018-05-23 20:21:22
CUSA00035	US	The Order: 1886	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00035_00/7/f_96552741c8ea39535d8cb7e24a79ca3c4b6f2ec26e2b07b25dad063590f7a64d/f/UP9000-CUSA00035_00-TO1886GAME000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00036	US	Doki-Doki Universe™	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00036_00/3/f_c89a5dee3cd70f93788ac0185ac790ba0b1359254721ad9e938b5f5c73c4ffb0/f/UP9000-CUSA00036_00-DDU0000000000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00038	US	Resogun	1.06		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00038_00/9/f_70b025db5efaf376b3bd07e9677187a5e8374470d5d5c6b7160601f26dcdc9b9/f/UP9000-CUSA00038_00-RESOGUN000000002-A0106-V0100.json	2018-01-21 15:14:22
CUSA00038	US	RESOGUN™	1.10		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00038_00/18/f_53d18e85d8f3431d4cbd266bbac634e3f8c06814429f183ffcb0f7ce828b2612/f/UP9000-CUSA00038_00-RESOGUN000000002-A0110-V0100.json	2018-05-23 20:21:22
CUSA00039	US	MLB® 14 The Show™	1.13		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00039_00/22/f_ea01c52fdb74067fba34cff6d4cbb90d37beb57f4edfb591abc6e3501f60fe03/f/UP9000-CUSA00039_00-MLBTHESHOW14SHIP-A0113-V0100.json	2018-05-23 20:21:22
CUSA00040	EU	Sound Shapes	1.14		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00040_00/8/f_ba1044c2b2a9b350a4cc86500437faff17068d6bab6ed11d7a8b87b745fdb6f5/f/EP9000-CUSA00040_00-SOUNDSHAPES00000-A0114-V0100.json	2018-05-23 20:21:22
CUSA00041	US	N++	1.09		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00041_00/22/f_2554a6748657b7879d8a672a90a21985439402db7a84ee0fdd263e9d6652e5d2/f/UP2108-CUSA00041_00-NPPGAMENPPGAMENP-A0109-V0100.json	2018-05-23 20:21:22
CUSA00042	US	Blacklight: Retribution	2.07		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00042_00/24/f_d49232f623ca3893f502065f4e559c1c80c363b0f8e5fa3e92ba5bd56587570f/f/UP2102-CUSA00042_00-BLACKLIGHT2ORBIS-A0207-V0100.json	2018-01-21 15:09:33
CUSA00043	US	Basement Crawl	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00043_00/6/f_d536b7f288c260eab619a24a8271841051b609f86e815c4e2c67ac3beb9e9f86/f/UP4176-CUSA00043_00-BASEMENTCRAWL001-A0101-V0103.json	2018-05-23 20:21:22
CUSA00044	EU	LEGO® MARVEL Super Heroes	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00044_00/2/f_2a8c1b41c0497b480349c3a3c718c2958c6ee7c74ba6f3b48a94decd03430326/f/EP1018-CUSA00044_00-LEGOMARVEL000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00046	EU	Doki-Doki Universe™	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00046_00/2/f_b08b53f918b004eaa07f2b6f32fa34da5fa325a89584ef149ff9c0f3925380f3/f/EP9000-CUSA00046_00-DDU0000000000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00047	EU	Blast 'Em Bunnies	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00047_00/4/f_79c448c40eac2d6c32e1bd042331af84cc8b1aaaa442eb9333b1c1d55377a907/f/EP4352-CUSA00047_00-NNBLASTBUNNIESEU-A0102-V0100.json	2018-05-23 20:21:22
CUSA00048	EU	Basement Crawl	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00048_00/3/f_39af1694a82ef627315d2a29d63871ad55bc8ea45cf65b883ccd38609e37b60e/f/EP4176-CUSA00048_00-BASEMENTCRAWL001-A0101-V0102.json	2018-05-23 20:21:22
