Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPEF00115	EU	Legacy of Kain: Soul Reaver 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00115_00/feTJcosQQwykXJRmihLLUlGsURuDrXZADQLSwyjqzapDCLTZNoFUZYKubDnqsfnS.pkg	EP0776-NPEF00115_00-GLEGACYOFK000ENG			396242944	4c37de25718ac2f1a67ec5dfdb670ec596bb1692060932ef10a4ce8606b94d65
NPEF00115	EU	Legacy of Kain: Soul Reaver (German only) 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00115_00/cArJwLGnsADjuEGpBfLYoTOGfHTOlmQajJHMkKuXyqiCpImogHyBQpGEQVnyVuTz.pkg	EP0776-NPEF00115_00-GLEGACYOFKONLYDE			401109664	118802f0513bf9cba73e89e9bee26d91c919480f290c1a636036b4e092e34df3
NPEF00115	EU	Legacy of Kain: Soul Reaver (Italian Only) 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00115_00/MymQXtVBcDGWvTvZgBeIUNrvgrIzpEuUgGauhNecrZaAciThIBwUxdkeldjefAZe.pkg	EP0776-NPEF00115_00-GLEGACYOFKONLYIT			396811152	02ffe7ae21929f9821e3038ddee2ed8a12c90d7f16458cb3a4abdc8414897933
NPEF00117	EU	Gex 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00117_00/XYyDKlPdZOTOqetarQepEHpECpebTLGmQNXgZxtGpgwoSKtuuCLJybJrtoELXAAW.pkg	EP0776-NPEF00117_00-GGEXXXXXXX000ENG			124146928	7525d6f5fc3e999a9528794b4857eed27dc0fb921687e4df954756bc067e1ffe
NPEF00118	EU	Gex: Deep Cover Gecko 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00118_00/CIaISScslYxOZfHuWwQwqtzSFUELNklgJUoVoJTvFOicccdECVgIkjjLlexFVMNG.pkg	EP0776-NPEF00118_00-GGEX3DEEPU000ENG			275681472	0fd403afeba2f8ae64e2a193e3803f77248c3ef050ff87acc2cfe4ed5711e52d
NPEF00119	EU	Gex 3D: Enter The Gecko 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00119_00/bBZLYegdgNlUqhNZgzIgCCxTJitHEVBVslDSLyDEyWOIodwnhlxhMwuRTRfbofRj.pkg	EP0776-NPEF00119_00-GGEX3DENTE000ENG			152220400	094015bb41e779a7f97691965ec506f45a53db7eaa4338008b033c23941cc38e
NPEF00120	EU	Tomb Raider: The Last Revelation 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00120_00/RBmNpfUleFgHXnoYEVLwmwlovwjSxsFqHqLQfryrAEIezgwYfKwyAecPomiduxLt.pkg	EP0776-NPEF00120_00-GTOMBRAIDE000ENG			505507632	d1eda94aa5f81afaef15a8e32c9f8b319cfc2c560dfc14d14947b4b111d7be0b
NPEF00120	EU	Tomb Raider: The Last Revelation (German store) 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00120_00/hKawpBtTlslSEUCVjXJzGLSWKWQNKOqAUULpZMZFtrDMlYOhxJwLIOTXTAdxxwCO.pkg	EP0776-NPEF00120_00-GTOMBRAIDE000GER			505510032	28e254dd23118663e65a5c01388d2137f30ab64312a7d612a5cf10992524cc78
NPEF00121	EU	Tomb Raider Chronicles 	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00121_00/JcXCpGvOHwPxFIiJscacxeEckgDlpigcSUvhweYWZxCGXNqOqriWrHbUpHCECtNo.pkg	EP0776-NPEF00121_00-GTOMBRAIDE000ENG			434149632	a3c4ee6fe6b3de3f52ae6a5ce6509b712b696dada65910c05da7c6dace88fabe
NPEF00121	EU	Tomb Raider Chronicles (German store)  (DateCode 2011-01-13)	http://zeus.dl.playstation.net/cdn/EP0776/NPEF00121_00/cvvttVmnRNIPkjcLuYHoFUTGLVntdPwqXGRWAwKYjjaRQJXJOByisOUeHSBFBklI.pkg	EP0776-NPEF00121_00-GTOMBRAIDE000GER			434142896	4caba477f7e2020570fc4904018953d49fde04091fe847088d8dd1f29f2ac437
