Title ID	Region	Name	PKG direct link	Content ID	File Size
CUSA10700	JP	カルマルカ＊サークル 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA10700_00/1/f_b452b8b49a2bc8bda2c81aad32a05f11dfd9e3994e174a76d8eb712113a0fc9c/f/JP0741-CUSA10700_00-PS4DEMOAPP000001.json	JP0741-CUSA10700_00-PS4DEMOAPP000001	
CUSA11982	JP	フローラル・フローラブ 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA11982_00/1/f_00daa8eede5a7d4205137c3427b200c8f7ae22009c89cbd36842c89101198949/f/JP0741-CUSA11982_00-PS4DEMOAPP000001.json	JP0741-CUSA11982_00-PS4DEMOAPP000001	
CUSA12005	JP	タユタマ２ -you’re the only one- 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12005_00/15/f_e5321cf8b7c6696d6b10978edd4c59c9f4ed607bd913366916f312253cd3412c/f/JP0741-CUSA12005_00-PS4DEMOAPP000001.json	JP0741-CUSA12005_00-PS4DEMOAPP000001	
CUSA12275	JP	「NBA LIVE 19」体験版(英語版)	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12275_00/2/f_718aa8f012284acfab53dc4abcda5d0933740ad07267a28d67104bc87c2f5536/f/UP0006-CUSA12275_00-NBALIVE19DEMOEAS.json	UP0006-CUSA12275_00-JPPS400000000001	
CUSA12314	JP	閃乱カグラ Burst Re:Newal 体験版 [FW 05.50]	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12314_00/1/f_88575bef1eee8f67a0402ffcc47ed7c96377d1df6b87ae33a61febd7c60e46cd/f/JP0507-CUSA12314_00-BURSTHDDEMOVER12.json	JP0507-CUSA12314_00-BURSTHDDEMOVER12	
CUSA12387	JP	ロックマン11 運命の歯車!! Demo Version	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12387_00/1/f_89208b4501e9667cc55830fccd9f41e203fca9fa4a3e9930ea4fa58bfd9913bd/f/JP0102-CUSA12387_00-MM11TRIAL0000000.json	JP0102-CUSA12387_00-MM11TRIAL0000000	
CUSA12589	JP	FIFA 19 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12589_00/2/f_62dcd04617762ca771582295991f36b54e16e804130b9f6c2ef3360ff314931a/f/JP0006-CUSA12589_00-FIFA2019DEMOGAME.json	JP0006-CUSA12589_00-FIFA2019DEMOGAME	
CUSA12712	JP	Winning Eleven 2019 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12712_00/1/f_c7aa51a6645bbc341c384518eac4f452d8d2d14912e6cea16c36b0ec4277a1cb/f/JP0101-CUSA12712_00-PES201900000DEMO.json	JP0101-CUSA12712_00-PES201900000DEMO	
CUSA13136	JP	GOD EATER 3 アクション体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13136_00/6/f_cdf4e1d88911ec48e3d13208281272a9bd91162fe64445c79fd4cbe8fad04146/f/JP0700-CUSA13136_00-GODEATER3TRIAL00.json	JP0700-CUSA13136_00-GODEATER3TRIAL00	
CUSA13193	JP	JUDGE EYES：死神の遺言　先行体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13193_00/2/f_8f0dc65f3843c3f562a3dc69deb67c96ed402ecf54cd6e0e3c9602e175a84eae/f/JP0177-CUSA13193_00-JUDGEEYESPREJP00.json	JP0177-CUSA13193_00-JUDGEEYESPREJP00	
CUSA13324	JP	さくらさくら 体験版(PS4版)	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13324_00/1/f_aa1e6ab4a2150d638dce72b3dc42aa8a04bb175697ed434f888079576193d03d/f/JP0741-CUSA13324_00-SAKURASAKUPS4TRI.json	JP0741-CUSA13324_00-SAKURASAKUPS4TRI	
CUSA12369	EU	Mega Man 11 Demo Version	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12369_00/1/f_7a871ef794191ec38b952423b3124a16d76394fd323fac579ffdb8e08909de3c/f/EP0102-CUSA12369_00-MM11TRIAL0000000.json	JP0031-CUSA02675_00-GAME000000000000	
CUSA13204	US	Battlefield V Open Beta	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13204_00/1/f_b1dce3f61df6440c5fdaffde1d1329ef33ae9e7d06a82cfee0f866dc5e14f7ca/f/UP0006-CUSA13204_00-BATTLEFIELDVBETA.json	UP0006-CUSA13204_00-BATTLEFIELDVBETA	
CUSA12740	JP	ブラッククローバー　カルテットナイツ　βversion	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12740_00/3/f_ec6708181ca95e5e63a7e764bfbd9929675dabd18262170231cf6cfcbe17be07/f/JP0700-CUSA12740_00-BLACKCLOVERGAME1.json	JP0700-CUSA12740_00-BLACKCLOVERGAME1	
CUSA12911	EU	Black Clover: Quartet Knights βversion [FW 05.55]	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12911_00/2/f_58c60da34eb277526dcd4d5c5515c28d2fd4f08a8ea5010616e08751efc2d76f/f/EP0700-CUSA12911_00-BLACKCLOVERGAME1.json	EP0700-CUSA12911_00-BLACKCLOVERGAME1	
CUSA13212	EU	Battlefield V Open Beta	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13212_00/1/f_26af30ba86d4cfda0559bdf5b41f3ea75830c1d0c9474f2c36997c1ead3a79c5/f/EP0006-CUSA13212_00-BATTLEFIELDVBETA.json	EP0006-CUSA13212_00-BATTLEFIELDVBETA	
CUSA13477	JP	ザンキゼロ体験版(PS4版)	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13477_00/1/f_a033c7beeb20f83c597a4010cf72fc1868cc0a189bbaae668fc3f710685400c4/f/JP0365-CUSA13477_00-ZAZTRIALPS400000.json	JP0365-CUSA13477_00-ZAZTRIALPS400000	
CUSA14159	JP	初情スプリンクル　体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA14159_00/1/f_217e27e22bc87382a2601451ca40e973648f5971c33d4556d83229beedca0da0/f/JP0549-CUSA14159_00-0001000100010001.json	JP0549-CUSA14159_00-0001000100010001	
CUSA10929	JP	戦場のヴァルキュリア４序盤体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA10929_00/2/f_248f06826df8981b2971d8d118ebf9d2951b226bf6add485a0d249f19c35aeb4/f/JP0177-CUSA10929_00-BFVALKYRIE000100.json	JP0177-CUSA10929_00-BFVALKYRIE000100	
CUSA13556	JP	ASTRO BOT RESCUE MISSION™ 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13556_00/1/f_a16dec85329a9d3cc467558685efeae9f2b6f88e8812100c4110c048500c1ff8/f/JP9000-CUSA13556_00-PFVRDEMO000000JP.json	JP9000-CUSA13556_00-PFVRDEMO000000JP	
CUSA11681	JP	BLAZBLUE CROSS TAG BATTLE -Trial Version-	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA11681_00/3/f_70e8c2e55f8cc403466a91df84abf005f30800cea12d79d51805195f4f9ae4e5/f/JP0036-CUSA11681_00-BBTAGPS400050000.json	JP0036-CUSA11681_00-BBTAGPS400050000	
CUSA12220	JP	DJMAX RESPECT 体験版 	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12220_00/1/f_e38de1f0890af90da1001eb17a5bbc8427c214745f81ec407a802927bcc09a4b/f/JP0036-CUSA12220_00-DJMAXRESPECTNWRS.json	JP0036-CUSA12220_00-DJMAXRESPECTNWRS	
CUSA12131	JP	WIPEOUT OMEGA COLLECTION™ 　体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA12131_00/1/f_caa0f0025d72c8d351b6d22a1af24afadfb8159ef0b3cf52afb2744d0cad805d/f/JP9000-CUSA12131_00-WIPEOUTOMDEMO0JP.json	JP9000-CUSA12131_00-WIPEOUTOMDEMO0JP	
CUSA03354	JP	魔女と百騎兵 Revival -体験版-	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA02894_00/1/f_6c7c50ecc6a872aa6ee241b2be0ee494ce51bf732c59677a66caca363b61f2fb/f/JP0404-CUSA02894_00-TWATHKREVIVALTRI.json	JP0404-CUSA02894_00-TWATHKREVIVALTRI	
CUSA02894	JP	アンチャーテッド® コレクション 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA03354_00/1/f_d5037862e87b38a5c8d4ebc7d5bffe0b56f84f2bb3340bdecb45f05ad6fb0768/f/JP9000-CUSA03354_00-UNCHARTEDNDCDEMO.json 	JP9000-CUSA03354_00-UNCHARTEDNDCDEMO	
CUSA11549	JP	PixelJunk™ Monsters 2 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA11549_00/3/f_a873d45e894acdbcee2419c3268e11714212731346156d60de3913832c86525e/f/JP0365-CUSA11549_00-PJMONSTERS2TRIAL.json	JP0365-CUSA11549_00-PJMONSTERS2TRIAL	
CUSA10539	JP	X-Morph: Defense Demo	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA10539_00/4/f_b7bdfa93fad612bc7ce35c81826b2672cb078aeb28cd56fadfc491cafb126796/f/JP0507-CUSA10539_00-XMORPHDEMO000000.json	JP0507-CUSA10539_00-XMORPHDEMO000000	
CUSA13768	EU	【DEMO】Taiko no Tatsujin: Drum Session! 	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13768_00/1/f_0ec45cfdc57348d9e69e7933ea29e01724f99fac953ab868b90672fe9d8485f0/f/EP0700-CUSA13768_00-TAIKONOTATSUJIN1.json	EP0700-CUSA13768_00-TAIKONOTATSUJIN1	
CUSA13560	EU	ASTRO BOT Rescue Mission™ Demo 	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA13560_00/1/f_b64c7454a1dfea14bf9b1fdb72f7291e0ab88cae83f6a60963c67f38c610b625/f/EP9000-CUSA13560_00-PFVRDEMO000000EU.json	EP9000-CUSA13560_00-PFVRDEMO000000EU	
CUSA14020	EU	Just Dance® 2019 (Demo) 	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA14020_00/1/f_887f31b00c612018f46a771940e83c328f2c45257a754ddf1e210903bcc305f2/f/EP0001-CUSA14020_00-JD2019PS4SCEEDM0.json	EP0001-CUSA14020_00-JD2019PS4SCEEDM0	
