Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJJ30044	JP	PC Engine	モトローダーⅡ(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30044_00/SehYsnbPRrhriBYfewAyxFOHuVEuavvkIBYRiNpARvlxseOsEEClTNzZfNjFjOWGDqVtVoDSdJCcqIdPBSayWqPIFFqdAhUjsaPXr.pkg	JP0555-NPJJ30044_00-MOTOROADER20JH44				8513328	
NPJI00017	JP	PSP	PHILOSOMA フィロソマ	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00017_00/o6ECKbylugEBQYa5nXbeCunfOJASGTCqs93snyYbxdi9ioUMkoIoFBDYpyONig0sUC3LOveOolIR9uaBPw5O8Q36cuCkgxr2dHi7J.pkg	JP9000-NPJI00017_00-0000000000000001				374411072	
NPJJ00061	JP	PSP	メタルスラッグ(PS3®・PSP®用)	http://zeus.dl.playstation.net/cdn/JP0576/NPJJ00061_00/mosYy2rOUaVYQ3j5XtmCBh6ghnQJVGMllt0qqi2JoCeV2XKH4NBMgKLK5jruT2BwIFhY9jMdAuJxeCFaTB3mR8fCrKxFepPEhVXen.pkg	JP0576-NPJJ00061_00-0000000000000001				204402416	
NPJJ00747	JP	PSP	闘神伝	http://zeus.dl.playstation.net/cdn/JP0363/NPJJ00747_00/KdPPvvmdquUbiwHSXPDRXJhXBKglPTpNkRcqQsGjaCwVfIIdpiiRgtFmzXvVcZMHyrNAeFiipYfewhZcUpptMCyJEDNPjBYBEEdlj.pkg	JP0363-NPJJ00747_00-0000000000000001				58939136	
NPJJ00749	JP	PSP	闘神伝3	http://zeus.dl.playstation.net/cdn/JP0363/NPJJ00749_00/NxUHLCqaromdmkSwZgrodUspoyPizGeQrIearyNBVLFBXUkLzaYnugaNauKrBNjujHoJcfUeBUiOnoOXlasDAGpXmUHJlheyQdMrk.pkg	JP0363-NPJJ00749_00-0000000000000001				425528416	
NPJJ00540	JP	PSP	ポケットファイター®(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0102/NPJJ00540_00/AxMSBgxhsuCkmKbruEceaddPVyPpFqYltLkZbsvKxpfPqLgUuHhqATBfPLDjGshPYgQjHHjxaFmSwHJxLsiZFJnToEGACwOGFfKGI.pkg	JP0102-NPJJ00540_00-0000000000000001				231448304	
NPJJ00748	JP	PSP	闘神伝2 plus	http://zeus.dl.playstation.net/cdn/JP0363/NPJJ00748_00/DJvgQZXCeauQLyAiWcfWOnoqrSBnGUgyiNSweODQQYtPPniPyfgagtEIOhFCXrGywzfdPDhYcTWEMgZFFHzDRHIbehaeDDABCfOhB.pkg	JP0363-NPJJ00748_00-0000000000000001				140496208	
NPJJ00584	JP	PSP	鉄拳 TEKKEN®(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0700/NPJJ00584_00/qaSLtxSWhsFDxMiuGbCzrcDWFLpfWXaRudEAVSGtEPQBzhKQAgoiRPmWVDDZrXXhSLetoEhakUaEcnTMeCZVtsYjNhIhPPevdRsdC.pkg	JP0700-NPJJ00584_00-0000000000000001				157797264	
NPJJ00187	JP	PSP	ARKANOID® RETURNS(PS3®･PSP®用)	http://zeus.dl.playstation.net/cdn/JP0305/NPJJ00187_00/3ETlmvA7nNyVwPSjmDdCWgrMncTQ0OHnSpVgEc0AH2wlci97Jlx5DJEJ9VwmYm1rw1eddQ1yR02IARXXxaU3sKBWT3Vo4cPsNm47h.pkg	JP0305-NPJJ00187_00-0000000000000001				127553024	
NPJJ00427	JP	PSP	SuperLite1500シリーズ　ボンボート	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00427_00/MaUKIJhSvmwQrG7hsivHvDyB7BWDsWS1UiD45cYMQrCl2GprYaFr8YpCUtnATkYT5rMaIparNq2PLInJ8klq9BnfdDw4MIgcFnkRJ.pkg	JP0571-NPJJ00427_00-0000000000000001				10875792	
