Title ID	Region	Name	JSON direct link	RAP	Content ID	Last Modification Date	Download .RAP file
CUSA09163	JP	追加衣装：ティアーゴシック	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/6/f_f16331391898592b734e3a68f2829b58de8d712372a573c7e5702d8b43655e2b/f/JP0031-CUSA09163_00-ADDCONTENTDLC005.json	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC005 	2018-11-06 22:08:59	
CUSA09163	JP	マニアック装備セット	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09163_00/36/f_1b408b7a946ebe05f5bfae6b79ff19607092664f6a46965211d0a1e66e2f0cec/f/JP0031-CUSA09163_00-ADDCONTENTDLC037.json	MISSING	JP0031-CUSA09163_00-ADDCONTENTDLC037 	2018-11-06 22:08:59	
CUSA09344	JP	Assassin's Creed Odessey Japanese Audio	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09344_00/43/f_a75b21cf8a250b87e6b16cdab83648869139a489a1b630365284b9c5f8bc16e8/f/JP0001-CUSA09344_00-AUDIOPACKJAJP000.json	MISSING	JP0001-CUSA09344_00-AUDIOPACKJAJP000 	2018-11-06 22:08:59	
CUSA09906	JP	神獄塔 メアリスケルタープレイアイテム	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09906_00/3/f_c18af6b47afedd05ebcfdfdc69a379949665d0bb5b69f4a04b7d0e8d8f65227c/f/JP0031-CUSA09906_00-ADDCONTENTDLC007.json	MISSING	JP0031-CUSA09906_00-ADDCONTENTDLC007	2018-11-06 22:08:59	
CUSA09906	JP	血式少女達の水着	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09906_00/2/f_6049169b250ae4ae4218ddf84f2fb7c35a94844629c3d777bc98e4b4f421aacc/f/JP0031-CUSA09906_00-ADDCONTENTDLC018.json	MISSING	JP0031-CUSA09906_00-ADDCONTENTDLC018	2018-11-06 22:08:59	
CUSA09906	JP	デスリク職業衣装①	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA09906_00/17/f_d06a26f04cf65e3cecfbbc3c20764754befbf7be69c7094ee4ad1e5b587b2acd/f/JP0031-CUSA09906_00-ADDCONTENTDLC020.json	MISSING	JP0031-CUSA09906_00-ADDCONTENTDLC020	2018-11-06 22:08:59	
CUSA12240	JP	特別衣装「王元姫」	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA12240_00/9/f_51fcc7571c397b1fa0a9fce1b8819e1a52551013609fc74501b64b193cf80dab/f/JP0106-CUSA12240_00-MO3DLC0SCOS00800.json	MISSING	JP0106-CUSA12240_00-MO3DLC0SCOS00800	2018-11-06 22:08:59	
CUSA12725	JP	HITMAN Japanese Audio	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA12725_00/5/f_33af86f3538bc23647b3a26a95f175109c919fa05bf6b21d8189188506a4dc96/f/JP0012-CUSA12725_00-0000000000LANGJP.json	MISSING	JP0012-CUSA12725_00-0000000000LANGJP	2018-11-06 22:08:59	
CUSA00909	EU	Thomas Was Alone: Benjamin's Flight	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA00909_00/4/f_34a3c569ff771e68de612fa8e6e0b36d8ec98960f9eea44e71a00eed3db83d7f/f/EP4395-CUSA00909_00-THOMASWASALONEAC.json	MISSING	EP4395-CUSA00909_00-THOMASWASALONEAC	2018-11-06 22:08:59	
CUSA00851	EU	Call of Duty® Advanced Warfare - Digital Edition Personalization Pack	http://gs2.ww.prod.dl.playstation.net/gs2/acpkgo/prod/CUSA00851_00/9/f_abccc9c0c5de28332651bb3c44025244df0a24940b17cd30297f430ccabba87d/f/EP0002-CUSA00851_00-CODAWDIGITALPACK.json	MISSING	EP0002-CUSA00851_00-CODAWDIGITALPACK	2018-12-06 17:06:42	
